"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"AB1Inner.ITS.S22",28.57,64.29,14.29,0,7.14,0,7.14,0,0,14.29,28.57,7.14,0,0,0,0,0,0,7.14,0,0,0,0,0,7.14,0
"AB1Mineral.ITS.S24",19.88,34.78,34.16,1.24,2.48,19.25,9.32,1.24,0.62,9.94,1.86,9.32,8.07,1.24,4.97,12.42,1.86,0.62,0,0,0,3.73,0,0,0.62,0
"AB1Organic.ITS.S26",15.23,31.98,32.99,0.51,3.05,21.83,5.08,0.51,0,9.64,1.02,8.63,7.11,0,6.09,5.58,4.06,0.51,0,0,0,4.57,1.52,0.51,0,0
"AB10Mineral.ITS.S8",18.29,30.49,41.46,0,3.66,23.17,7.32,0,0,10.37,4.27,12.8,6.71,0.61,7.93,9.15,3.05,0.61,0,0,0,4.27,1.83,1.83,1.83,0
"AB10Organic.ITS.S10",20.1,35.18,33.67,0,4.52,20.1,9.05,0,0,15.08,4.02,11.06,7.54,0,6.03,5.03,4.02,1.01,0,0,0,6.03,2.01,0,0.5,0
"AB11Mineral.ITS.S16",18.67,33.73,39.76,0.6,6.02,23.49,9.64,0.6,0.6,10.84,4.82,11.45,6.63,0.6,4.22,9.04,3.01,0.6,0,0,0,3.61,0.6,0.6,1.81,0
"AB11Organic.ITS.S18",16.82,37.85,31.31,0.93,4.21,18.69,7.01,0,0,15.42,1.87,8.41,6.54,0.93,5.61,5.14,6.54,0.93,0.47,0,0,4.21,0.47,0,0,0
"AB2Inner.ITS.S30",22.22,44.44,8.89,0,0,0,6.67,2.22,0,8.89,8.89,4.44,13.33,2.22,0,2.22,0,0,2.22,0,0,0,0,0,2.22,0
"AB2Mineral.ITS.S32",21.05,26.32,33.55,0,1.32,19.08,7.89,0,0,5.26,1.97,5.92,7.24,0,3.29,9.21,2.63,0.66,0.66,0,0,6.58,0,0,0.66,0
"AB2Organic.ITS.S34",16.67,31.14,25,0.88,2.63,14.91,6.58,0.44,0.44,10.96,3.07,7.02,6.14,0,4.39,6.14,4.39,0.44,0,0,0,3.95,0.44,0,0.44,0
"AB3slash5Inner.ITS.S42",16.67,66.67,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB3slash5Mineral.ITS.S44",14.29,31.87,35.16,0,3.85,19.23,3.85,0,0,8.24,2.75,12.09,8.24,0,8.24,12.09,3.3,1.1,0,0,0,2.75,0.55,0.55,0.55,0
"AB3slash5Organic.ITS.S46",18.47,36.55,29.32,1.2,3.21,18.47,6.02,1.61,0.4,13.65,2.01,6.83,7.23,0.4,4.82,7.63,6.43,1.61,0,0,0.4,4.02,0.4,0,0,0
"AB4Mineral.ITS.S52",22,32,40,0,4,22,8,0,0,11.33,4.67,12.67,8.67,0,6,11.33,6,0.67,0,0,0,5.33,0.67,0.67,1.33,0
"AB4Organic.ITS.S54",15.81,36.75,29.49,0.43,4.7,20.94,5.98,0.43,0,12.39,2.14,5.98,7.26,0,4.27,4.27,4.7,0.43,0,0,0.43,3.42,0.85,0,0.43,0
"AB4slash6Mineral.ITS.S60",18.75,32.95,31.25,0.57,3.41,11.36,6.82,0.57,0,8.52,1.14,13.07,9.09,0,7.39,11.36,2.84,0.57,0,0,0,4.55,0,0,1.14,0
"AB4slash6Organic.ITS.S62",19.09,39.09,29.09,0,2.73,14.55,8.18,0,0,13.64,1.82,10.91,7.27,0,7.27,10,6.36,1.82,0,0,0,2.73,0,0,0,0
"AB5Mineral.ITS.S76",20.79,31.19,41.58,0.5,3.47,24.75,8.42,0.5,0.5,9.41,2.48,10.89,8.42,0,6.44,10.89,3.47,0.5,0.5,0,0,4.46,0.5,0.5,0.99,0
"AB5Organic.ITS.S78",19.62,33.01,29.19,0,4.31,19.14,5.26,1.44,0,11.48,3.35,6.22,8.61,0,3.35,3.35,3.35,0.96,0.48,0,0,4.78,1.44,0.48,0.48,0
"AB501Mineral.ITS.S68",16.39,35.52,36.61,1.64,4.37,23.5,7.1,1.64,1.09,11.48,3.83,9.29,5.46,0.55,6.56,13.11,3.83,0.55,0,0,0,2.73,1.09,1.09,0.55,0
"AB501Organic.ITS.S70",15.38,35.47,29.49,0.85,3.42,20.51,6.84,0.85,0,14.1,2.99,6.84,5.13,0,5.98,9.4,5.13,0.43,0.43,0,0,2.99,0.85,0.43,0,0
"AB6Mineral.ITS.S84",22.16,32.95,44.89,0,2.27,26.14,7.95,0,0,6.82,3.98,11.93,10.23,0,6.25,9.66,3.41,0.57,0,0,0,5.11,0,0,1.7,0
"AB6Organic.ITS.S86",17.44,36.92,30.26,0.51,5.13,17.44,4.1,0.51,0,12.82,1.54,8.21,9.23,0.51,4.62,4.62,4.1,0.51,0,0,0,5.64,0.51,0,0.51,0
"AB6primeMineral.ITS.S92",15.91,34.09,30.11,0,3.41,16.48,7.39,0,0,7.39,2.27,9.09,6.25,0,6.82,12.5,2.84,0,0,0,0,3.41,0,0,0,0
"AB6primeOrganic.ITS.S94",17.27,37.35,26.51,0.8,4.02,15.26,6.83,0.4,0,13.65,2.81,8.43,6.43,0.4,6.43,6.02,5.62,0.4,0,0,0,3.61,0.4,0,0,0
"AB9Mineral.ITS.S100",16.84,28.06,35.71,0,2.55,20.92,6.63,0,0,9.18,4.08,8.67,7.14,0.51,5.1,7.14,4.59,0.51,0,0,0,4.08,2.04,2.04,1.02,0
"AB9Organic.ITS.S102",16.22,33.11,21.62,0.34,2.7,9.46,6.08,0,0,11.82,4.05,10.47,6.42,1.01,5.07,4.05,4.05,0.34,0,0,0,5.07,1.69,0,1.01,0
"ABT14PMineral.ITS.S108",24.34,38.16,37.5,0,5.26,16.45,11.84,0,0,10.53,3.29,15.79,10.53,0,7.89,12.5,4.61,0.66,0,0,0,3.95,0.66,0.66,1.97,0
"ABT14POrganic.ITS.S110",18.67,35.56,24.89,0.89,2.22,15.56,7.11,1.33,0,14.22,1.33,6.67,10.67,0,3.11,2.67,6.22,0.44,0,0,0,3.56,0.44,0,0,0
"BB1Inner.ITS.S176",29.27,26.83,9.76,0,2.44,0,7.32,0,0,7.32,12.2,7.32,19.51,0,0,0,0,2.44,2.44,0,0,0,0,0,2.44,0
"BB1Mineral.ITS.S178",16.94,31.82,38.43,0,2.89,21.9,7.02,0,0,8.26,3.31,10.74,5.37,0.83,7.85,9.92,3.72,0.41,0,0,0.41,5.79,2.07,0.83,0,0
"BB1Organic.ITS.S180",17.53,28.87,38.14,0,1.03,25.77,6.19,0,0,9.28,2.06,8.25,5.15,0,7.22,9.28,5.15,1.03,0,0,0,7.22,2.06,0,0,0
"BB1Outer.ITS.S182",34.62,34.62,38.46,0,0,3.85,3.85,3.85,0,23.08,15.38,23.08,26.92,15.38,0,3.85,3.85,3.85,11.54,0,0,0,0,0,0,0
"BB10Inner.ITS.S114",35.71,21.43,7.14,0,7.14,0,7.14,0,0,7.14,21.43,7.14,28.57,0,0,0,0,0,0,0,0,0,0,0,7.14,0
"BB10Organic.ITS.S116",17.07,37.4,38.21,0,5.69,26.02,8.13,0,0,15.45,2.44,10.57,6.5,0,8.13,7.32,8.94,0.81,0,0,0,4.07,2.44,0.81,0.81,0
"BB10Outer.ITS.S118",36.36,63.64,36.36,0,18.18,9.09,0,0,0,45.45,36.36,36.36,36.36,27.27,0,0,0,0,0,0,0,0,0,0,0,9.09
"BB10primeInner.ITS.S120",34.62,34.62,3.85,0,0,0,15.38,0,0,7.69,23.08,3.85,15.38,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0
"BB10primeMineral.ITS.S122",14.13,31.88,31.88,0,3.99,17.39,5.43,0,0,10.14,3.99,9.78,5.07,1.45,6.16,8.33,3.26,0,0.36,0,0,3.26,0.72,0.72,1.81,0
"BB10primeOrganic.ITS.S124",14.71,34.12,31.18,1.18,5.29,19.41,8.24,1.76,1.18,13.53,4.71,7.65,4.71,0.59,4.71,7.06,5.29,0,0.59,0,0,1.18,0,0,1.18,0
"BB11Inner.ITS.S128",26.92,19.23,11.54,0,3.85,3.85,7.69,0,0,11.54,11.54,11.54,19.23,3.85,0,0,0,0,0,0,0,0,0,0,3.85,0
"BB11Mineral.ITS.S130",19.5,32.78,30.29,0.41,3.32,12.03,7.47,0.41,0,11.2,5.39,13.69,8.3,0.41,6.64,7.88,5.39,1.24,0.41,0,0,4.15,0.83,0,1.24,0.41
"BB11Organic.ITS.S132",18.18,31.17,29.44,0.87,3.03,15.58,6.49,1.3,0,15.15,3.46,9.96,6.49,0.87,5.63,4.76,6.49,1.3,0.87,0,0,6.06,1.3,0,0.87,0
"BB12Inner.ITS.S136",21.21,18.18,15.15,0,3.03,0,0,0,0,9.09,6.06,9.09,15.15,9.09,0,0,0,0,6.06,0,0,0,0,0,0,0
"BB12Mineral.ITS.S138",23.23,30.97,40,0,1.94,19.35,8.39,0,0,9.68,3.23,12.26,10.97,0.65,6.45,7.74,4.52,0.65,0,0,0,7.1,1.29,1.29,0.65,0
"BB12Organic.ITS.S140",18.75,31.7,27.68,0.89,2.23,16.52,8.04,0.45,0,13.39,1.34,7.59,6.7,0,4.46,4.91,5.8,0.89,0,0,0,6.25,1.34,0,0.45,0
"BB13Mineral.ITS.S146",20.86,38.04,27.61,0,3.68,12.27,6.75,0,0,9.2,3.07,9.82,10.43,0.61,5.52,7.98,3.07,0.61,0,0,0,5.52,1.23,0.61,1.23,0
"BB13Organic.ITS.S148",15.48,29.37,26.59,0.79,3.17,15.48,5.16,0.79,0,11.11,2.38,9.52,7.14,0,4.76,3.97,2.78,0.79,0.4,0,0,4.76,1.59,0.4,0.79,0
"BB13Outer.ITS.S150",0,50,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB14Inner.ITS.S152",18.84,21.74,24.64,0,0,15.94,7.25,0,0,8.7,7.25,7.25,7.25,1.45,1.45,4.35,4.35,0,0,0,0,1.45,0,0,2.9,0
"BB14Mineral.ITS.S154",17.86,38.27,37.24,0,5.61,19.39,5.61,0.51,0,9.18,4.59,12.76,7.65,1.02,9.69,10.71,2.04,0.51,0,0,0,4.08,1.02,1.02,1.53,0
"BB14Organic.ITS.S156",20.86,33.09,28.06,0.72,3.6,16.55,5.04,1.08,0,11.51,3.6,7.91,10.79,0.72,5.76,4.32,2.88,1.08,0,0,0.72,4.32,1.08,0.72,0.36,0
"BB14Outer.ITS.S158",37.5,25,25,0,0,0,0,0,0,12.5,25,25,37.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0
"BB16Inner.ITS.S160",7.41,11.11,14.81,0,3.7,0,3.7,0,0,7.41,3.7,14.81,3.7,0,0,0,3.7,0,0,0,0,0,0,0,3.7,0
"BB16Mineral.ITS.S162",19.88,33.92,40.94,0,2.92,19.3,7.02,0,0,9.94,2.92,15.2,10.53,1.75,8.77,10.53,2.34,0,0.58,0,0,4.68,0.58,0.58,1.17,0
"BB16Organic.ITS.S164",16.53,27.42,28.23,0.81,2.42,16.53,5.24,1.21,0.4,8.87,2.82,7.66,6.45,0.4,4.03,5.65,2.82,1.21,0.4,0,0,5.24,0.81,0,0.4,0
"BB16Outer.ITS.S166",42.86,33.33,28.57,0,4.76,0,9.52,0,0,14.29,28.57,28.57,23.81,9.52,0,0,0,4.76,0,0,4.76,0,0,0,4.76,4.76
"BB16primeInner.ITS.S168",16.22,16.22,16.22,0,2.7,2.7,2.7,2.7,0,5.41,10.81,13.51,13.51,0,0,0,0,0,0,0,0,0,0,0,2.7,0
"BB16primeMineral.ITS.S170",20.31,30.73,33.85,0,4.69,15.62,7.29,0,0,11.46,4.17,11.46,8.33,1.04,6.25,7.81,3.65,1.04,0,0,0,5.21,1.04,1.04,1.04,0
"BB16primeOrganic.ITS.S172",17.53,30.28,27.89,0.8,3.19,16.73,5.98,0.4,0.4,11.16,3.19,5.18,6.77,0,3.59,4.38,5.58,0.8,0.8,0,0,4.38,1.59,0.8,0.4,0
"BB16primeOuter.ITS.S174",16.67,11.11,11.11,0,0,0,5.56,0,0,5.56,16.67,11.11,11.11,5.56,0,0,0,0,0,0,0,0,0,0,5.56,0
"BB3Inner.ITS.S184",16.67,16.67,16.67,0,0,8.33,16.67,0,0,0,8.33,8.33,0,0,0,16.67,0,0,0,0,0,0,0,0,8.33,0
"BB3Mineral.ITS.S186",20.57,38.29,38.86,0.57,2.29,18.86,8.57,0.57,0.57,9.14,5.71,14.86,8,2.29,7.43,13.14,3.43,0.57,0,0,0,4,1.14,1.14,1.14,0.57
"BB3Organic.ITS.S188",17.92,37.5,30,0.83,3.33,19.17,7.08,1.67,0.83,14.58,4.17,7.92,9.58,0.83,5,5.42,3.75,1.67,0.42,0,0,3.33,0.83,0,0,0
"BB3Outer.ITS.S190",25,25,25,0,0,0,0,0,0,25,25,25,12.5,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0
"BB5Inner.ITS.S192",20,40,0,0,0,0,0,5,0,10,15,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0
"BB5Mineral.ITS.S194",16.74,35.24,34.36,0,5.73,18.5,4.41,0.44,0,10.57,3.52,12.33,9.69,1.76,7.93,9.25,3.08,0,0,0,0,4.41,2.2,1.32,0.88,0
"BB5Organic.ITS.S196",18.07,29.41,28.57,0.42,4.2,17.23,5.88,0.42,0.42,10.92,2.94,7.14,8.4,0.42,4.2,2.94,3.36,0.84,0.42,0,0,5.46,2.1,0.84,0.42,0
"BB5Outer.ITS.S198",36.84,31.58,15.79,0,0,0,0,0,0,0,31.58,10.53,26.32,0,0,0,0,0,5.26,0,0,0,0,0,0,0
"BB6Inner.ITS.S200",33.33,61.11,5.56,0,0,0,0,0,0,27.78,27.78,5.56,22.22,5.56,0,0,0,0,0,0,0,0,0,0,0,0
"BB6Mineral.ITS.S202",17.62,37.7,38.93,0,3.28,19.26,6.97,0.82,0,9.84,4.1,11.89,7.79,1.23,6.56,9.43,2.05,0.41,0,0,0,5.74,2.05,1.23,1.23,0
"BB6Organic.ITS.S204",17.33,35.56,28.44,0.44,4.89,15.11,5.78,0.89,0.44,14.67,3.56,9.78,7.56,0.44,6.22,4.89,4.44,0.44,0,0,0,5.33,1.33,0,0.44,0
"BB7Mineral.ITS.S210",20.45,33.64,37.27,0.45,4.09,16.82,7.27,0.45,0.45,10,4.09,14.09,10,0.91,7.27,9.09,3.18,0.91,0,0,0,4.09,0,0,1.82,0
"BB7Organic.ITS.S212",19.33,25.65,30.11,1.12,4.09,18.59,5.2,0.74,0.37,11.9,3.72,6.69,6.32,0,3.72,3.72,5.58,0.74,0,0,0,6.32,0.74,0,0.74,0
"BB8Inner.ITS.S216",32.41,28.7,17.59,0,0.93,1.85,8.33,0,0,5.56,18.52,9.26,21.3,1.85,0,0.93,2.78,0.93,3.7,0,0,0,0,0,1.85,0
"BB8Mineral.ITS.S218",19.51,33.66,27.8,0,3.9,11.22,6.83,0,0,13.17,5.37,12.68,8.29,0.49,6.83,8.29,6.83,0.98,0.49,0,0,2.93,0.49,0.49,1.95,0
"BB8Organic.ITS.S220",18.03,30.27,24.15,0.68,2.72,9.86,5.44,1.02,0.34,9.52,3.74,10.2,7.48,0.34,7.48,7.82,3.06,1.02,1.02,0,0,3.74,1.02,0.34,0.68,0
"BB8Outer.ITS.S222",32,26.67,13.33,0,2.67,0,5.33,2.67,0,9.33,18.67,12,25.33,2.67,0,1.33,2.67,2.67,1.33,0,0,0,0,0,2.67,0
"BB9Inner.ITS.S224",23.53,44.12,41.18,0,0,23.53,8.82,0,0,8.82,5.88,11.76,11.76,0,5.88,8.82,2.94,2.94,0,0,0,2.94,0,0,0,0
"BB9Mineral.ITS.S226",22.75,31.22,40.21,0.53,3.7,22.22,10.05,0.53,0.53,12.7,3.7,12.17,9.52,0.53,6.35,6.88,4.76,0.53,0,0,0,5.82,1.06,0.53,1.59,0
"BB9Organic.ITS.S228",18.47,34.54,32.13,0,3.61,19.28,4.82,1.2,0,13.65,2.81,7.63,8.43,1.2,4.42,5.22,4.82,0.8,0,0,0.4,5.62,0.8,0,0.8,0
"BB9Outer.ITS.S230",40,20,30,0,10,10,30,10,0,0,30,20,10,0,0,0,0,0,0,0,0,0,0,0,20,0
"BBGT1Inner.ITS.S232",37.14,31.43,37.14,0,2.86,0,8.57,0,0,5.71,22.86,25.71,22.86,2.86,2.86,0,0,8.57,2.86,0,0,0,0,0,5.71,0
"BBGT1Mineral.ITS.S234",12.27,31.23,27.14,0,5.2,14.13,4.83,0,0,7.43,3.35,8.18,5.58,0.37,5.2,7.81,0.74,0.74,0,1.49,0.37,1.12,1.49,1.49,0.37,0
"BBGT1Organic.ITS.S236",17.09,34.18,19.4,0.92,5.54,9.7,5.08,2.77,0.92,10.85,3.23,7.39,12.01,0.92,3.7,3.93,1.39,1.15,0,0.69,0.23,0.46,0.69,0.69,0.92,0.23
"BBX1Inner.ITS.S240",10,10,10,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
"BBX1Mineral.ITS.S242",13.92,34.63,28.16,0.97,7.12,15.53,7.77,0.65,0.65,10.03,2.59,9.06,6.47,0.65,5.83,7.77,0.97,0.97,0,0.65,0,0.97,2.27,1.94,0.65,0
"BBX1Organic.ITS.S244",14.62,35.27,19.26,0.7,4.87,9.05,4.87,2.78,0.7,11.83,2.32,7.89,9.05,0.93,4.87,4.64,1.16,0.93,0,0.93,0,0.46,1.16,1.16,0.46,0
"BBX1Outer.ITS.S246",29.57,20,15.65,0,0,0,6.09,0,0,6.09,6.96,4.35,23.48,2.61,0,0,0.87,1.74,9.57,0,0,0,0,0,0,0
"BBX6Inner.ITS.S248",14.29,28.57,14.29,0,0,0,0,0,0,9.52,4.76,4.76,9.52,0,0,4.76,4.76,0,9.52,0,0,0,0,0,0,0
"BBX6Mineral.ITS.S250",15.76,34.98,26.6,0.99,7.88,11.58,8.62,0.74,0.74,13.55,5.91,12.32,7.88,1.97,5.42,7.14,1.23,0.99,0.25,0.74,0,0.25,0.49,0.49,1.23,0
"BBX6Organic.ITS.S252",17.03,37.93,14.87,1.29,4.96,5.39,5.6,1.72,0.43,12.28,4.53,7.76,10.13,1.51,4.31,4.53,0.65,0.65,0,0.65,0,0.65,0.43,0.43,0.65,0
"BBX6Outer.ITS.S254",9.09,9.09,27.27,0,0,0,9.09,0,0,9.09,0,18.18,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0
"BBX7Inner.ITS.S256",23.53,11.76,23.53,0,0,0,0,0,0,11.76,0,5.88,17.65,5.88,0,0,0,5.88,11.76,0,0,0,0,0,0,0
"BBX7Mineral.ITS.S258",15.38,35.9,27.07,0.57,7.12,13.68,7.98,0.57,0.57,11.97,4.27,10.54,7.98,0.85,5.41,6.55,1.42,1.14,0,0.85,0,0.57,0.28,0.28,1.14,0
"BBX7Organic.ITS.S260",13.46,31.73,14.42,0.48,5.53,4.33,6.25,0.96,0.24,10.58,3.85,7.45,5.77,1.44,4.33,3.37,1.44,0.96,0,1.2,0,0.72,0,0,1.2,0
"BBX7Outer.ITS.S262",27.27,27.27,27.27,0,0,0,0,0,0,9.09,18.18,9.09,9.09,9.09,0,0,0,0,18.18,0,0,0,0,0,0,0
"BC1Mineral.ITS.S264",14.5,29,31.5,0.5,3,17,5,1,0.5,8,2.5,9.5,6,0.5,6,10,3.5,0,0,0,0.5,5.5,2,1,1.5,0
"BC1Organic.ITS.S266",18.44,31.84,27.93,0.56,4.47,13.41,7.26,0.56,0,12.29,3.35,12.29,8.94,0.56,6.7,7.26,3.35,1.68,0,0,0,5.59,2.23,0,1.68,0
"BC1Outer.ITS.S268",60,80,40,0,20,0,0,0,0,60,60,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0
"BC2Inner.ITS.S270",23.68,47.37,18.42,0,0,2.63,5.26,5.26,0,13.16,13.16,18.42,21.05,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26
"BC2Mineral.ITS.S272",13.89,33.33,24.6,0.4,2.78,13.89,5.95,0.4,0.4,9.13,3.17,5.56,4.37,0,2.78,14.68,4.76,0.4,0.4,0,0,3.57,0,0,0.79,0
"BC2Organic.ITS.S274",18.34,35.81,28.82,0,3.06,18.78,6.55,2.18,0,15.28,3.49,7.42,8.73,0.87,3.49,5.68,5.24,0.87,0.44,0,0,4.37,1.31,0,0.87,0
"BC2Outer.ITS.S276",17.86,10.71,10.71,0,0,0,7.14,0,0,0,10.71,10.71,10.71,0,3.57,0,0,0,0,0,0,0,0,0,7.14,0
"BC4Mineral.ITS.S280",22.56,30.83,44.36,0.75,3.76,27.82,7.52,0.75,0.75,9.02,3.76,7.52,8.27,0,4.51,6.02,3.76,0.75,0,0,0,6.77,0,0,1.5,0
"BC4Organic.ITS.S282",20.44,34.81,29.83,0.55,3.87,19.34,6.63,1.1,0.55,12.71,4.42,6.63,8.29,0,3.87,2.76,3.87,1.1,0,0,0,4.97,1.1,0,0.55,0
"BO1Mineral.ITS.S288",17.61,31.25,38.07,0,2.84,22.73,7.95,0,0,9.66,2.27,10.23,6.25,0.57,5.68,11.36,3.98,0.57,0,0,0,3.41,1.7,1.7,0,0
"BO1Organic.ITS.S290",13.68,38.42,31.05,1.58,3.16,23.68,5.26,1.58,0.53,14.21,0.53,5.79,5.79,0,3.68,6.84,5.79,0.53,0,0,0,3.68,0.53,0,0,0
"BO1Outer.ITS.S292",13.33,20,10,0,0,0,3.33,0,0,10,6.67,3.33,13.33,0,0,0,0,0,6.67,0,0,0,0,0,0,0
"CUL8RInner.ITS.S294",18.18,36.36,9.09,0,0,0,0,0,0,9.09,9.09,9.09,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0
"CUL8RMineral.ITS.S296",14.8,33.62,20.08,0.63,4.23,8.88,6.77,0.85,0.42,9.3,4.23,8.03,7.61,0.21,4.23,6.13,2.11,0.42,0.21,0.85,0.21,0.63,1.06,0.42,0.63,0
"CUL8ROrganic.ITS.S298",1.18,5.29,2.35,0,0,0.59,0.59,0,0,1.76,0.59,0.59,0,0,0,0,0.59,0.59,0,0.59,0,0,0.59,0.59,0,0
"H101Mineral.ITS.S305",19.19,37.88,32.32,1.52,5.05,10.61,7.58,1.52,1.01,13.64,4.55,16.67,10.1,3.03,9.09,12.12,3.03,0.51,0,0,0,2.53,0,0,0.51,0
"H101Organic.ITS.S307",16.13,36.02,33.87,2.15,6.99,22.04,6.99,2.15,1.61,14.52,4.3,8.06,5.91,1.08,5.91,6.99,4.3,1.08,0,0,0,3.23,1.08,0,0,0
"H101Outer.ITS.S309",31.67,33.33,16.67,0,1.67,0,5,0,0,11.67,21.67,15,23.33,8.33,0,0,1.67,3.33,1.67,0,0,0,0,0,3.33,1.67
"H102Mineral.ITS.S313",31.88,46.38,59.42,0,1.45,34.78,8.7,1.45,0,14.49,13.04,24.64,14.49,5.8,13.04,14.49,2.9,0,1.45,0,0,8.7,2.9,0,1.45,2.9
"H102Organic.ITS.S315",18.6,26.86,26.86,0,3.31,15.7,6.2,0,0,9.92,4.13,6.61,7.44,0.41,2.89,3.31,3.72,0.83,0.41,0,0,3.72,0.41,0,0.83,0
"H102Outer.ITS.S317",32.84,34.33,16.42,0,1.49,0,8.96,0,0,11.94,23.88,17.91,23.88,4.48,1.49,1.49,1.49,0,0,0,0,0,0,0,7.46,1.49
"H103Inner.ITS.S319",27.5,42.5,30,0,2.5,0,7.5,0,0,15,15,27.5,15,7.5,5,5,5,0,0,0,0,0,0,0,2.5,0
"H103Mineral.ITS.S321",19.66,31.2,39.32,0.43,4.27,21.79,7.69,0.43,0.43,11.97,5.56,13.68,8.97,1.71,7.26,6.84,3.42,0.43,0.43,0,0,3.85,0.43,0,0.85,0.85
"H103Organic.ITS.S323",17.05,32.95,26.14,0,3.41,15.34,6.25,0,0,10.8,4.55,8.52,6.82,0.57,5.11,4.55,3.98,0.57,0.57,0,0,3.41,1.14,0,0.57,0
"HM104Inner.ITS.S143",27.91,34.88,27.91,0,4.65,0,9.3,0,0,2.33,25.58,27.91,13.95,9.3,9.3,9.3,0,0,0,0,0,0,0,0,9.3,0
"H104Mineral.ITS.S327",19.81,35.38,34.91,0.94,5.19,18.4,7.08,0.94,0.94,11.32,6.13,12.26,9.91,0.94,6.6,9.43,2.83,0.47,0.47,0,0,3.77,0.47,0,0.94,0.47
